id,name,description,address,city,state,zip_code,phone,email,website,services,state_abbreviation,business_description
103,"Advance: Solar, Hydro, Wind Power, Inc.","Solar, hydro, and wind power systems and components, including API LiFePO4 energy storage systems, solar thermal collectors, ceramic coatings, wind turbines, and hydroelectric systems.","6331 N. State Street, Redwood Valley, California, 95470",Redwood Valley,CA,95470,17074850588,advance@advancepower.net,http://www.advancepower.net,"[""Solar, hydro, and wind power systems and components, including API LiFePO4 energy storage systems, solar thermal collectors, ceramic coatings, wind turbines, and hydroelectric systems.""]",California,
104,Adams A+ Electric,"Electrical contracting services, Residential, Commercial, Solar Installation","PO Box 1173, Greenfield, MA 01302",PO Box 1173,MA,1302,14135307017,Adamsapluselectric@yahoo.com,http://adamsapluselectric.com/,"[""Electrical contracting services, Residential, Commercial, Solar Installation""]",Greenfield,
105,EnergyAid,"Helping solar power owners optimize their systems’ output and savings with inspections, annual tune-ups, maintenance, and repairs. Provide new installation services for full systems, solar panels, and battery units, as well as maintenance.",California,,CA,,18777870607,,http://www.energyaid.net,"[""Helping solar power owners optimize their systems’ output and savings with inspections, annual tune-ups, maintenance, and repairs. Provide new installation services for full systems, solar panels, and battery units, as well as maintenance.""]",,
106,A2Z solar consultant,"Renewable energy installation services, including solar panels on roofs, commercial energy installation, heat, water, and electricity efficiency improvement.","1342 Dogwood Trail, Lewisville, Texas, 75067",Lewisville,TX,75067,16028729266,,http://www.ueni.com/en-us/website/a2zsolarconsultant,"[""Renewable energy installation services, including solar panels on roofs, commercial energy installation, heat, water, and electricity efficiency improvement.""]",Texas,
107,Good Faith Energy,"Provides solar and battery backup systems for residential and commercial clients, EV chargers, energy storage, and smart load management.","4122 Billy Mitchell Dr, Addison, Texas 75001",4122 Billy Mitchell Dr,TX,75001,19727776937,,http://www.goodfaithenergy.com,"[""Provides solar and battery backup systems for residential and commercial clients, EV chargers, energy storage, and smart load management.""]",Addison,
108,Huffman Solar,"Solar PV Installations, optimal designs, identification of optimal equipment and installation methodology","1896 Creek Dr, San Jose, CA 95125",1896 Creek Dr,CA,95125,14084063591,,,"[""Solar PV Installations, optimal designs, identification of optimal equipment and installation methodology""]",SanJose,
109,Aten Concepts,"Full lineup of top quality commercial and residential solar services, including consultation, installation, roofing and more.","87 Beaver Street, ​Waltham, MA 02453",87 Beaver Street,MA,2453,17812098601,,https://www.example.com,"[""Full lineup of top quality commercial and residential solar services, including consultation, installation, roofing and more.""]",Waltham,
110,Alliance Roofing,"Residential and commercial roofing services, including new roof installation, re-roofing, and roof repairs. They specialize in metal, tile, and shingles, and offer premium roofing types like copper and slate. They also provide home repair services like gutter, flashing, and soffit and fascia repair or replacement.","28, Commerce Street, Glastonbury, CT, 06033",Glastonbury,CT,6033,18606337243,,http://www.allianceroofing.com/,"[""Residential and commercial roofing services, including new roof installation, re-roofing, and roof repairs. They specialize in metal, tile, and shingles, and offer premium roofing types like copper and slate. They also provide home repair services like gutter, flashing, and soffit and fascia repair or replacement.""]",CT,
111,1st American Design & Constrution,"Architectural design, residential and commercial construction, historic renovation & remodeling, kitchen design, commercial and residential solar solutions.","11414 N 1st Ave Oro Valley, AZ 85737",11414 N 1st Ave Oro Valley,AZ,85737,15202751880,FASTech-AZ@aol.com,http://www.1stamericandesign.com,"[""Architectural design, residential and commercial construction, historic renovation & remodeling, kitchen design, commercial and residential solar solutions.""]",AZ,
112,Copiague Commercial Solar Clean Energy Systems,"High-quality solar installation services, backup power solutions, customized solar solutions for residential and commercial clients","985 Howard Ave, Copiague, NY, 11726",Copiague,NY,11726,16318101126,,http://www.copiaguesolarcleanenergysystems.com,"[""High-quality solar installation services, backup power solutions, customized solar solutions for residential and commercial clients""]",NY,
113,Earth Wind and Solar Energy,"Design and installation of solar PV, solar thermals, wind turbines, geothermal, and energy efficient lighting for residential and commercial applications","4831 West Wilson, Chicago, IL 60630",4831 West Wilson,IL,60630,13122439933,info@EarthWindandSolarEnergy.com,https://www.earthwindsolarenergy.com,"[""Design and installation of solar PV, solar thermals, wind turbines, geothermal, and energy efficient lighting for residential and commercial applications""]",Chicago,
114,Georev,"Leading edge environmental services for public agencies, government and private industry. Georev integrates a growth matrix of cutting edge solutions by supplying IT Resources and staffing, Engineering, and IT Programming & Development Services for new and established enterprises.","2408 Clearwater Cir, Macon, Georgia, 31217",Macon,GA,31217,16786322808,,http://www.georev.com,"[""Leading edge environmental services for public agencies, government and private industry. Georev integrates a growth matrix of cutting edge solutions by supplying IT Resources and staffing, Engineering, and IT Programming & Development Services for new and established enterprises.""]",Georgia,
115,"Innovative Energy Conservation, LLC","Lighting Retrofits, Solar Design & Install, Value Engineering","17A, Progress St, Edison, NJ, 08820",Edison,NJ,8820,17328411308,,,"[""Lighting Retrofits, Solar Design & Install, Value Engineering""]",NJ,
116,15 lightyears,"We test, verify, and certify new construction projects with the goal of higher performance and greater energy savings. We offer comprehensive clean energy solutions for builders and property owners. Our services include testing, verifying, and certifying new construction projects to ensure they achieve optimal performance and maximum energy savings. Commercial Energy Projects, Commercial Solar Operations and Maintenance, Residential Projects, Electrical Upgrades, Battery Storage, Electric Vehicle & Tesla Charging, Home Standby Back Up Generators, Micro-Grid Ready, Rooftop Solar: Shingle, Metal, Flat, Ground Mount Solar","350 S Ronald Reagan Blvd., Longwood, Florida, 32750",Longwood,FL,32750,18554381515,info@15lightyears.com,http://15lightyears.com,"[""We test, verify, and certify new construction projects with the goal of higher performance and greater energy savings. We offer comprehensive clean energy solutions for builders and property owners. Our services include testing, verifying, and certifying new construction projects to ensure they achieve optimal performance and maximum energy savings. Commercial Energy Projects, Commercial Solar Operations and Maintenance, Residential Projects, Electrical Upgrades, Battery Storage, Electric Vehicle & Tesla Charging, Home Standby Back Up Generators, Micro-Grid Ready, Rooftop Solar: Shingle, Metal, Flat, Ground Mount Solar""]",Florida,
117,Jackpot Electric,"Residential, multifamily, commercial, and Solar/EV installations","217 Fall Creek Drive, Kyle, TX, 78640",Kyle,TX,78640,15124249770,,https://www.jackpot-electric.com,"[""Residential, multifamily, commercial, and Solar/EV installations""]",TX,
118,"Arceneaux Electrical Service, LLC","Residential Electrician, Commercial Electrician, Lighting Repair, generators, solar panel installation, and more","Breaux Bridge, Louisiana, 05417",Breaux Bridge,LA,5417,13373692263,info@arceneauxelectricalservice.com,http://www.breauxbridgeelectrician.com,"[""Residential Electrician, Commercial Electrician, Lighting Repair, generators, solar panel installation, and more""]",Louisiana,
119,Accel Federal Energy Services LLC,"Professional solar, structural, electrical and site engineering services to solar contractors and developers.","1616 H Street NW, Washington, DC, 20006",Washington,,20006,12029999435,,http://www.afes.us,"[""Professional solar, structural, electrical and site engineering services to solar contractors and developers.""]",DC,
120,AFC Electric,"Electrical solutions for homes and businesses, including residential construction, commercial construction, service and maintenance.","10550 Abernathy St., Bonita Springs, FL, 34135",Bonita Springs,FL,34135,12394983131,,http://afcelectric.com/,"[""Electrical solutions for homes and businesses, including residential construction, commercial construction, service and maintenance.""]",FL,
121,Hillside Expert Electrical,"Hillside provides homeowners, landlords, property managers, building contractors and businesses with general construction and electrical services.
Residential and Commercial services
We are eager to service homes; whether whole house rewires, or panel upgrades. We are the leader for Panel Upgrade Pasadena residents call on. Landlords and contractors call on us for commercial, retail, and restaurant electrical Tenant Improvment.","1464 Lincoln Ave, Unit C-3, Pasadena, CA, 91103",Pasadena,CA,91103,18188965400,"mymail@mailservice.com, gary@hillsidegeneral.com",http://www.hillsideexpertelectrical.com,,CA,
122,Florida Home360,"Impact Windows & Doors, Roof Replacement, and Solar Panels","17842 NW 2nd St, Pembroke Pines , FL, 33029",Pembroke Pines,FL,33029,19544663406,,https://www.floridahome360.com/,"[""Impact Windows & Doors, Roof Replacement, and Solar Panels""]",FL,
123,DRS of Central FL,Roofing and Solar Contractor,"6107 Anno Ave, Orlando, FL 32809",6107 Anno Ave,FL,32809,4072401225,,http://www.drs-roofing.com,"[""Roofing and Solar Contractor""]",Orlando,
124,Earth Centric Solar,"Residential and commercial solar services, solar batteries, EV charging systems, solar water pumps, and solar lamps","439 Columbia Rd, #210, Hanover, MA 02339",#210,MA,2339,17743318793,,,"[""Residential and commercial solar services, solar batteries, EV charging systems, solar water pumps, and solar lamps""]",Hanover,
125,Golden Valley Solar,"Solar Panel Installation, Solar Panel Cleaning, Energy Storage, Maintenance & Repair, Critter-Proofing","14221 Skyview Road, Madera, CA, 93636",Madera,CA,93636,15595980827,,https://www.goldenvalleysolar.com,"[""Solar Panel Installation, Solar Panel Cleaning, Energy Storage, Maintenance & Repair, Critter-Proofing""]",CA,
126,Hill Country Solar LLC,"Licensed electrical contractor specializing in solar photovoltaic (PV) electric systems, grid-connected and off-grid solar PV systems for all scales of emergency backup and standalone power systems.","135 East Main St, Suite 221, Fredericksburg, TX, 78624",Fredericksburg,TX,78624,15129245525,sales@hillcountrysolar.net,https://www.hillcountrysolar.com,"[""Licensed electrical contractor specializing in solar photovoltaic (PV) electric systems, grid-connected and off-grid solar PV systems for all scales of emergency backup and standalone power systems.""]",TX,
127,100k Solar,"Residential and Commercial Solar Installation, Benefits of Solar, Tax Incentives","22 Mediterranean Ct, Barnegat, NJ, 08005",Barnegat,"NJ, TX",8005,17328148087,,http://100ksolar.com,"[""Residential and Commercial Solar Installation, Benefits of Solar, Tax Incentives""]",NJ,
128,"EduTech Systems, Inc.","Sales, installation, and service of solar, wind, communications, point to point wireless, and fiber systems","8325 Lee Blvd., Leawood, KS 66206",8325 Lee Blvd.,KS,66206,19136454691,pgraff@edutechsystems.com,https://www.edutechsystems.com,"[""Sales, installation, and service of solar, wind, communications, point to point wireless, and fiber systems""]",Leawood,
129,A1A Solar,"PV + batteries, HVAC, hot water, & energy efficiency solutions for home and business.","10418, New Berlin Rd, Unit 223, Jacksonville, FL, 32226",Jacksonville,FL,32226,19044687861,info@a1asolar.com,http://www.a1asolar.com/,"[""PV + batteries, HVAC, hot water, & energy efficiency solutions for home and business.""]",FL,
130,Georgia Solar Company | Local Solar Installer | Locally Owned & Operated,"Residential and Commercial Solar Installer, Battery Backup Storage, EV Chargers, Solar Energy Systems, etc.","2931, Lewis Street NW, Ste 300, Kennesaw, GA, 30144",Kennesaw,GA,30144,17704857438,,http://www.creativesolarusa.com,"[""Residential and Commercial Solar Installer, Battery Backup Storage, EV Chargers, Solar Energy Systems, etc.""]",GA,
131,Green Prepper,"Residential solar installation, monitoring, and maintenance.","1800 Wells Valley Rd, Wells Tannery, PA 16691",1800 Wells Valley Rd,PA,16691,18142123836,info@greenprepper.com,http://www.greenprepper.com,"[""Residential solar installation, monitoring, and maintenance.""]",WellsTannery,
132,A+ Circuit Solutions,Your one-stop-shop for comprehensive electrical and solar solutions.,"4317 South Farm Road 137, Springfield, MO 65810",4317 South Farm Road 137,MO,65810,14173804021,apluscircuit@gmail.com,http://apluselectricianspringfield.com/,"[""Your one-stop-shop for comprehensive electrical and solar solutions.""]",Springfield,
133,"Glesco Electric, Inc.","Electrical contractor providing services such as commercial, industrial, and institutional electrical work, including pre-construction, design/build, solar, and facility/plant maintenance.","3103 E. Tatman Court, Suite 103, Urbana, IL 61802",Suite 103,IL,61802,12173287700,,https://www.glescoelectric.com,"[""Electrical contractor providing services such as commercial, industrial, and institutional electrical work, including pre-construction, design/build, solar, and facility/plant maintenance.""]",Urbana,
134,Abco Design & Remodeling,"Commercial and residential home repair, restoration, renovation and remodeling, interior and exterior remodeling, new construction and remodeling solutions, Kitchen & Bathroom Remodel, Bathroom Renovation & Kitchen Remodel Solutions, Residential & Commercial General Contractor Kitchen & Bathroom Home Remodeling, Repair, Renovations, Improvement, Restoration, Construction, Room Additions, Handyman, Flooring (Carpet, Tile, Granite), Concrete, Windows & Doors (Installation, Replacement), Counter Tops, Dry Wall, Painting (Interior, Exterior), Masonry, Stucco, Emergency Water Flood Damage Restoration","67-777 E Palm Canyon Dr #7, Cathedral City, CA, 92234",Cathedral City,CA,92234,17609029207,info@abcoconstructioncompany.com,http://www.abcoconstructioncompany.com,"[""Commercial and residential home repair, restoration, renovation and remodeling, interior and exterior remodeling, new construction and remodeling solutions, Kitchen & Bathroom Remodel, Bathroom Renovation & Kitchen Remodel Solutions, Residential & Commercial General Contractor Kitchen & Bathroom Home Remodeling, Repair, Renovations, Improvement, Restoration, Construction, Room Additions, Handyman, Flooring (Carpet, Tile, Granite), Concrete, Windows & Doors (Installation, Replacement), Counter Tops, Dry Wall, Painting (Interior, Exterior), Masonry, Stucco, Emergency Water Flood Damage Restoration""]",CA,
135,Joseph Ward Enterprises Inc.,"Roof repair, roof restoration, roof replacement, roof inspections, broken/missing shingle replacement, emergency storm repairs, fascia and soffit replacement, wall flashing, accessories, GACO treatments","337 1st Street, Jupiter, FL, 33458",Jupiter,FL,33458,15617418919,,http://www.joewardroofing.com,"[""Roof repair, roof restoration, roof replacement, roof inspections, broken/missing shingle replacement, emergency storm repairs, fascia and soffit replacement, wall flashing, accessories, GACO treatments""]",FL,
136,Ed's Green Energy,"Solar Energy, Sustainable Energy Products, Home Heating Oil Deals","1443 E Noxon Rd, Lagrangeville, NY 20154",1443 E Noxon Rd,NY,20154,18455468448,,https://www.edsgreenenergy.com/,"[""Solar Energy, Sustainable Energy Products, Home Heating Oil Deals""]",Lagrangeville,
137,365 SOLAR,Leading local solar innovation company. Solar panels that consistently deliver more energy & long-term peace of mind to clients.,"20474 Carrey Rd., Walnut, CA 91789",20474 Carrey Rd.,US,91789,16266721668,info@365solar.net,http://www.365solar.net,"[""Leading local solar innovation company. Solar panels that consistently deliver more energy & long-term peace of mind to clients.""]",Walnut,
138,"A.G.E. Electric, LLC","Residential and Commercial wiring, Generator installations and Solar wiring. Electrical services include: Residential and Commercial Electrical wiring, New Electrical Installations, Remodeling Electrical Wiring, Generator Sales, Installation and service, Landscape and security lighting, New construction electrical, Hot tub and spa electrical, Ceiling fan installation, Solar panels, Exterior lighting installation, Remodeling electrical, Electrical repair, Lighting installation, Generator Installation & Service, Electric outlets and circuits installation, Security & landscape lighting installation, Track and accent lighting installation, Electrical wiring – Interior/Exterior, Specialty indoor and outdoor lighting, Ceiling fan installation, Electrical panel upgrades, Circuit breaker replacements, Power surge suppressor, Home theater installation, Home automation, Surge protection, Electrical heating, In floor heating, Electrical Retrofitting, Electrical home inspection, Emergency electrical, Structured cabling, Commercial lighting","Holyoke, MA, 01040",Holyoke,MA,1040,14135622988,ageelectricllc@gmail.com,http://www.ageelectricllc.net,"[""Residential and Commercial wiring, Generator installations and Solar wiring. Electrical services include: Residential and Commercial Electrical wiring, New Electrical Installations, Remodeling Electrical Wiring, Generator Sales, Installation and service, Landscape and security lighting, New construction electrical, Hot tub and spa electrical, Ceiling fan installation, Solar panels, Exterior lighting installation, Remodeling electrical, Electrical repair, Lighting installation, Generator Installation & Service, Electric outlets and circuits installation, Security & landscape lighting installation, Track and accent lighting installation, Electrical wiring – Interior/Exterior, Specialty indoor and outdoor lighting, Ceiling fan installation, Electrical panel upgrades, Circuit breaker replacements, Power surge suppressor, Home theater installation, Home automation, Surge protection, Electrical heating, In floor heating, Electrical Retrofitting, Electrical home inspection, Emergency electrical, Structured cabling, Commercial lighting""]",MA,
139,"All-Star Electric, Inc.",Electrical contracting firm serving New York City and New Jersey. Electrical maintenance and repair services,"308 Railroad Avenue, Hackensack, NJ, 07601",Hackensack,NY,7601,12013428686,,http://www.all-star-electric.com,"[""Electrical contracting firm serving New York City and New Jersey. Electrical maintenance and repair services""]",NJ,
140,14er Exteriors,Roofing & Solar Solutions,,,CO,,17206160681,Marketing@14erext.com,http://www.14erext.com,"[""Roofing & Solar Solutions""]",,
141,eternaltx.com,Not available,"Tyler, TX, 75703",Tyler,TX,75703,19036001775,,http://www.eternaltx.com,"[""Not available""]",TX,
142,Accutek Solar,"Solar electric (PV) systems, and Kohler backup generators, electrical installation and repair services, solar thermal systems installation","9797 S. Rangeline Road, Clinton, IN, 47842",Clinton,"IN, IL",47842,18128787343,solarseth7@yahoo.com,http://www.accuteksolar.com,"[""Solar electric (PV) systems, and Kohler backup generators, electrical installation and repair services, solar thermal systems installation""]",IN,
143,"Sunrun solar panels, sun power panels, Tesla Battery backup","Renewable Solar Solutions! Solar Panels, Installation, Maintenance, Financing Options, Whole Home Battery Backup, Uninterrupted Power, Renewable Energy",United States,,CA,,16263914009,d.gonzalez@dgpsolar.com,http://www.dgpsolar.com,"[""Renewable Solar Solutions! Solar Panels, Installation, Maintenance, Financing Options, Whole Home Battery Backup, Uninterrupted Power, Renewable Energy""]",,
144,ACP Construction & Eco Energy Inc.,"Roofing, Solar Panels, Windows and Doors","1905 NW 18th St., Bldg D, Suite 1, Pompano Beach, FL, 33069",Pompano Beach,FL,33069,15612322560,info@acpconstructioninc.com,http://www.acpconstructioninc.com,"[""Roofing, Solar Panels, Windows and Doors""]",FL,
145,ACR Solar,"Solar Home Electric, Solar New Construction, Solar Commercial, Solar Pool Heating, Roofing, EV Charger, Battery Backup systems","5840 Gibbons Dr Suite H, Carmichael, CA, 95608",Carmichael,CA,95608,19164367510,,http://acrsolar.com,"[""Solar Home Electric, Solar New Construction, Solar Commercial, Solar Pool Heating, Roofing, EV Charger, Battery Backup systems""]",CA,
146,All Seasons Roofing & Waterproofing Inc.,"Commercial roofing, industrial roofing, office buildings, and multi-family homeowner associations, roof repair & maintenance, waterproofing services.","1720 Smith Ave, San Jose, CA, 95112",San Jose,CA,95112,14089714455,,http://www.allseasonsroof.com/,"[""Commercial roofing, industrial roofing, office buildings, and multi-family homeowner associations, roof repair & maintenance, waterproofing services.""]",CA,
147,Fidelity Solar Energy,Provides solar energy solutions,"401 E. Las Olas Blvd, Suite 1400-B, Ft. Lauderdale, FL, 33301",Ft. Lauderdale,FL,33301,19544669667,,http://www.fidelitysolarenergy.com,"[""Provides solar energy solutions""]",FL,
148,1UP Solar,"Solar industry professionals, renewable energy solutions, design and install solar panel systems, energy efficiency projects","550 W B St, 4th Floor, San Diego, CA 92101",4th Floor,,92101,18337693763,,,"[""Solar industry professionals, renewable energy solutions, design and install solar panel systems, energy efficiency projects""]",SanDiego,
149,"DDP Electric, Inc.","Residential electric services, including light installations, new construction electrical, hot tub and spa electrical, ceiling fan installation, residential electrical, exterior lighting installation, remodeling electrical, electrical repair, lighting installation, standby generators.","El Centro, CA 92243",El Centro,CA,92243,17606201805,delbert_widmann@hotmail.com,http://www.electricianelcentroca.com,"[""Residential electric services, including light installations, new construction electrical, hot tub and spa electrical, ceiling fan installation, residential electrical, exterior lighting installation, remodeling electrical, electrical repair, lighting installation, standby generators.""]",CA,
150,AA Solar,"Solar panel installation, committed to helping the State achieve 100% carbon free energy by 2045.","11015 Victory Blvd., North Hollywood, CA, 91606",North Hollywood,CA,91606,18186054623,info@aasolarhome.com,http://www.aasolarhome.com,"[""Solar panel installation, committed to helping the State achieve 100% carbon free energy by 2045.""]",CA,
151,"Highpoint Solar, Inc.","Specializing in meeting the unique solar power needs of our eastern Sierra communities, offering affordable residential and commercial solar power systems.","1335 Rocking W Drive #198, Bishop, CA 93514",1335 Rocking W Drive #198,CA,93514,17609375849,,https://www.highpointsolar.com,"[""Specializing in meeting the unique solar power needs of our eastern Sierra communities, offering affordable residential and commercial solar power systems.""]",Bishop,
152,Electric Sun LLC,"Electrical services, including Solar, remodel, new installation, electrical troubleshooting and repair, breaker and GFCI installation, residential remodels, EV car chargers, new construction, property maintenance, residential and commercial service work","1240 S Reed St, Lakewood, CO",1240 S Reed St,CO,,12693300615,Tim.Hessen@electricsunllc.com,https://www.electricsunllc.com,"[""Electrical services, including Solar, remodel, new installation, electrical troubleshooting and repair, breaker and GFCI installation, residential remodels, EV car chargers, new construction, property maintenance, residential and commercial service work""]",Lakewood,
153,InterMountain Electric Company,"Renewable Energy, Reliable Solutions, Electrical Construction, Design-Build, Energy Solutions, Solar Power, Lighting Retrofits, Energy Storage, Car Charging Stations","947 Washington St, San Carlos, CA 94070",947 Washington St,CA,94070,16505917118,,,"[""Renewable Energy, Reliable Solutions, Electrical Construction, Design-Build, Energy Solutions, Solar Power, Lighting Retrofits, Energy Storage, Car Charging Stations""]",SanCarlos,
154,"JMAC Electric, LLC","Residential, Commercial, Industrial, Solar/Inverter Panel Upgrades, Fire Alarm Systems, Communication Lines, Backup Generator Installation, Green Energy Solutions","1010 E. Pennsylvania Street, Ste 204 ,Tucson, AZ, 85714-1669",Tucson,AZ,857141669,15202091621,info@jmacelectric.com,https://jmacelectric.com,"[""Residential, Commercial, Industrial, Solar/Inverter Panel Upgrades, Fire Alarm Systems, Communication Lines, Backup Generator Installation, Green Energy Solutions""]",AZ,
155,Accura Electrical,"Electrical services for residential, commercial, and industrial sectors.","6187 NW, 167th St, Suite H3, Miami Lakes, FL 33014",Suite H3,FL,33014,13058273827,,http://www.accuraelectrical.com,"[""Electrical services for residential, commercial, and industrial sectors.""]",MiamiLakes,
156,"ImacuTech, LLC","Mechanical Contractors with Solutions, HVAC and Energy Conservation practices","Philadelphia, Pennsylvania
United States",Philadelphia,PA,,12156507436,,http://www.imacutech.com,"[""Mechanical Contractors with Solutions, HVAC and Energy Conservation practices""]",PennsylvaniaUnitedStates,
157,Associated Heating,HVAC & Solar Contractor,"1355 Abbott St, #8, Salinas, CA, 93906",Salinas,CA,93906,18317574577,office@associatedheating.net,https://www.associatedheating.net,"[""HVAC & Solar Contractor""]",CA,
158,High End Power,"Electrical work, EV charger installation, Main Service panel Upgrade, Solar System Installation, Solar Troubleshooting, Light Fixture Installation, Security Camera Installation, Recessed Light Installation, Residential Wiring, TV Installation","Santa Clarita, CA, 91350 United States",Santa Clarita,CA,91350,18183346031,,http://www.highendpower.com,"[""Electrical work, EV charger installation, Main Service panel Upgrade, Solar System Installation, Solar Troubleshooting, Light Fixture Installation, Security Camera Installation, Recessed Light Installation, Residential Wiring, TV Installation""]",CA,
159,Efficienado Solutions LLC,Turnkey energy efficiency Solutions project Management Company with strategic focus on environmental sustainability to help businesses achieve a carbon neutral footprint that contributes to a better world for everyone!,"1150 Sixth Avenue, Suite 2, 6th FL, New York, NY 06458",6th FL,NY,6458,13475654630,info@efficienados.com,http://www.efficienados.com,"[""Turnkey energy efficiency Solutions project Management Company with strategic focus on environmental sustainability to help businesses achieve a carbon neutral footprint that contributes to a better world for everyone!""]",NewYork,
160,Adis Electric,"Electrical services including circuits, breakers, panels, commercial electric services, construction & renovation, EV charger install, home improvement, lighting, security, repairs, solar panel install, generator install, smart home systems","Plano, TX",Plano,TX,,12146131000,,http://www.adiselectric.com,"[""Electrical services including circuits, breakers, panels, commercial electric services, construction & renovation, EV charger install, home improvement, lighting, security, repairs, solar panel install, generator install, smart home systems""]",TX,
161,Crabbe Service Co Inc,"Residential and Commercial HVAC Company, Installation, Maintenance, Emergency Repairs, Electrical Services, Geothermal Services","3410 Maple Avenue, Burlington, NC 27215",3410 Maple Avenue,NC,27215,13362266095,,http://www.crabbeservice.com,"[""Residential and Commercial HVAC Company, Installation, Maintenance, Emergency Repairs, Electrical Services, Geothermal Services""]",Burlington,
162,Advanced Data Technologies,Designs and installs showcase structured connectivity solutions across all markets.,"1075 Shore Road, Naperville, IL 60563",1075 Shore Road,IL,60563,16303553113,info@webadt.com,http://webadt.com,"[""Designs and installs showcase structured connectivity solutions across all markets.""]",Naperville,
163,8MSolar,"Residential and commercial solar panel installation, solar panel repairs, removals, reinstallation, solar battery storage & backup, EV charging installation. Hardware agnostic solar panels for homes, businesses, and non-profits","5112 Departure Drive, Raleigh, NC, 27616",Raleigh,"NC, OH, SC, VA",27616,19199486474,sales@8msolar.com,http://8msolar.com,"[""Residential and commercial solar panel installation, solar panel repairs, removals, reinstallation, solar battery storage & backup, EV charging installation. Hardware agnostic solar panels for homes, businesses, and non-profits""]",NC,
164,J.G. Family Solar,"Description of business, products, or services offered: Solar Installation, Solar Panels, Solar Energy, Energy Freedom, Renewable Energy, Clean Energy","Worcester, MA, 01604",Worcester,MA,1604,17748230937,Jeffgaskill@boundlessenergyco.com,https://www.boundlessenergyco.com,"[""Description of business, products, or services offered: Solar Installation, Solar Panels, Solar Energy, Energy Freedom, Renewable Energy, Clean Energy""]",MA,
165,A1 Sun,Residential solar and energy storage design and installation company.,"1435, 4th Street, Berkeley, CA, 94710",Berkeley,CA,94710,15105265715,sales@a1suninc.com,http://www.a1suninc.com,"[""Residential solar and energy storage design and installation company.""]",CA,
166,Jarvis Electric,"Electrical services including new home electric service installations, residential and commercial remodels, whole house rewire, city inspections, private inspections, EV chargers, whole house generators, minor troubleshooting, residential and commercial lighting upgrades, and Ameren Illinois Energy Efficiency Program","1604 N Illinois St, Swansea, IL, 62226",Swansea,IL,62226,16188060217,info@jarvis-electric.com,http://www.jarvis-electric.com,"[""Electrical services including new home electric service installations, residential and commercial remodels, whole house rewire, city inspections, private inspections, EV chargers, whole house generators, minor troubleshooting, residential and commercial lighting upgrades, and Ameren Illinois Energy Efficiency Program""]",IL,
167,Evans Roofing Company Inc.,"Full-service contracting company serving Southern California, specializing in roofing, roof coating systems, and repairs & maintenance","2020 South Yale Street, Santa Ana, CA, 92704-3974",Santa Ana,CA,927043974,18005400028,info@evansroofing.com,,"[""Full-service contracting company serving Southern California, specializing in roofing, roof coating systems, and repairs & maintenance""]",CA,
168,Enterprise Roofing,"Residential and Commercial Roofing, Roof Replacement, Roof Repair, Roof Inspection, Siding, Fascia Wrap & Shutters, Gutters & Downspouts, Skylights & Chimney Caps","1021 Irving Avenue, Dayton, OH",1021 Irving Avenue,OH,,19372988664,info@enterpriserfg.com,https://enterpriserfg.com,"[""Residential and Commercial Roofing, Roof Replacement, Roof Repair, Roof Inspection, Siding, Fascia Wrap & Shutters, Gutters & Downspouts, Skylights & Chimney Caps""]",Dayton,
169,"Absolutely Solar, Inc.","Design and installation of quality electrical systems, solar photovoltaic energy solutions for residential, commercial, and utility-scale projects. Portfolio assessment, Title 24 and New Construction consulting, Project Funding guidance.","P.O Box 811216, Los Angeles, CA, 90026",Los Angeles,CA,90026,13232061553,,http://www.absolutelysolar.com,"[""Design and installation of quality electrical systems, solar photovoltaic energy solutions for residential, commercial, and utility-scale projects. Portfolio assessment, Title 24 and New Construction consulting, Project Funding guidance.""]",CA,
170,ABC Solar Incorporated,"ABC Solar Incorporated delivers innovative and efficient solar solutions. Renowned for its expertise in solar electric grid-tie systems, ABC Solar has built a solid reputation for designing and installing high-quality solar systems that are uniquely tailored to meet the specific needs of each property. Their extensive portfolio includes residential, commercial, and utility-scale solar PV projects.","24454 Hawthorne Blvd, Torrance, CA, 90505",Torrance,CA,90505,13103733169,Solar@ABCsolar.com,http://www.abcsolar.com,"[""ABC Solar Incorporated delivers innovative and efficient solar solutions. Renowned for its expertise in solar electric grid-tie systems, ABC Solar has built a solid reputation for designing and installing high-quality solar systems that are uniquely tailored to meet the specific needs of each property. Their extensive portfolio includes residential, commercial, and utility-scale solar PV projects.""]",CA,
171,Abundant Energy of Arkansas,"Solar energy solutions, including grid-tied, grid-tied with backup, and off-grid systems. Also offers solar kits and services systems installed by competitors.","7718 White Oak Mountain Rd., Booneville, AR 72927",7718 White Oak Mountain Rd.,"AR, OK",72927,14794612040,,http://www.abundantenergyarkansas.com,"[""Solar energy solutions, including grid-tied, grid-tied with backup, and off-grid systems. Also offers solar kits and services systems installed by competitors.""]",Booneville,
172,Elevate Energy,"Solar energy provider, solar energy solutions, battery backup, generator solutions","Alvar H Smith, Dr. Martin Luther King Jr. Blvd, San Antonio, TX 78219",Dr. Martin Luther King Jr. Blvd,TX,78219,14692237755,Info@elevateenergy.us,https://elevateenergy.us/,"[""Solar energy provider, solar energy solutions, battery backup, generator solutions""]",SanAntonio,
